,CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO
251322,1997,3,85322410,11,23,PR,4,817700,80135,23,8300,104,41
252098,1997,11,85322410,11,399,SP,4,817700,589186,362,5752,2217,6
252221,1997,5,85322410,11,23,PR,4,817700,103200,414,9325,1477,47
252954,1997,4,85322410,11,399,SP,4,817700,4683000,339,39439,2206,3
253329,1997,12,85322410,11,87,SP,4,817700,98000,104,1715,344,9
254183,1997,8,85322410,11,741,AM,4,227600,35000,2,255,11,0
256930,1997,2,85322410,11,399,SP,4,227600,2598098,187,48052,1467,401
257236,1997,10,85322410,11,573,MG,4,617600,68000,116,1688,752,9
257287,1997,11,85322410,11,23,MG,4,617600,8000,3,488,8,2
261265,1997,5,85322410,11,741,AM,4,227600,650000,48,5450,246,8
262178,1997,1,85322410,11,249,RS,4,1017600,0,0,90,1,0
263265,1997,4,85322410,11,23,SP,4,817700,401000,234,6930,784,6
267110,1997,6,85322410,11,23,SP,4,817600,9000,0,487,2,2
268012,1997,10,85322410,11,628,AM,4,227600,2680900,138,19050,536,58
273456,1997,7,85322410,11,375,SP,4,817700,2500000,157,25783,1622,129
274438,1997,10,85322410,11,161,SP,4,817700,5416500,4417,55684,23052,233
275019,1997,12,85322410,11,72,SP,4,817700,40000,30,595,136,9
276403,1997,6,85322410,11,399,SP,4,227600,330635,599,111394,1722,849
279066,1997,12,85322410,11,249,AM,4,227600,372700,39,31846,289,0
284675,1997,9,85322410,11,628,SP,4,817600,90000,5,1562,65,1
285913,1997,4,85322410,11,275,SP,4,817600,3000,1,369,18,2
286517,1997,5,85322410,11,455,AM,1,227600,5218000,272,103160,237,599
288350,1997,5,85322410,11,160,BA,4,517600,43544,331,1020,966,0
290289,1997,12,85322410,11,275,SP,4,817700,12000,62,246,208,1
291418,1997,4,85322410,11,249,PR,4,817700,100000,15,3227,63,16
292557,1997,5,85322410,11,23,RS,4,1017600,1036900,12,7849,49,15
293348,1997,4,85322410,11,161,SP,4,817600,1263025,315,14273,2281,53
293988,1997,1,85322410,11,72,RS,4,1017600,2573010,33,16854,134,33
299206,1997,4,85322410,11,187,AM,4,227600,110000,86,2015,565,0
302676,1997,10,85322410,11,628,SP,4,817700,192000,43,1971,192,1
306502,1997,10,85322410,11,23,SP,1,817800,80500,26,1398,20,7
306762,1997,1,85322410,11,375,SP,4,817700,40000,2,696,83,3
306809,1997,7,85322410,11,23,PR,4,817700,269825,193,15085,644,75
307696,1997,2,85322410,11,161,AM,4,227600,28159940,1542,245091,8853,314
308974,1997,8,85322410,11,455,AM,1,227600,1573000,157,18810,145,58
308975,1997,5,85322410,11,399,AM,1,227600,1900000,155,23156,97,34
310239,1997,8,85322410,11,741,SP,4,817600,788000,30,17100,1834,51
310932,1997,10,85322410,11,493,SP,4,817600,464000,45,13384,603,49
311487,1997,9,85322410,11,399,AM,1,227600,975000,27,21041,54,30
313897,1997,7,85322410,11,160,BA,4,517600,396,1503,396,3137,0
314768,1997,10,85322410,11,399,AM,4,227600,232000,23,4315,72,12
317374,1997,1,85322410,11,160,SP,4,817600,2000,2,130,39,1
321317,1997,6,85322410,11,628,SP,4,817600,362000,16,4615,230,9
325043,1997,7,85322410,11,161,AM,1,227600,1467000,83,12178,125,12
328750,1997,6,85322410,11,161,SP,4,817600,2244000,637,33102,3770,49
328919,1997,12,85322410,11,399,PR,4,910151,6000,3,240,73,0
329121,1997,6,85322410,11,741,RS,4,1017600,15000,4,426,17,1
329382,1997,12,85322410,11,249,PR,4,817700,30000,7,391,20,2
332328,1997,4,85322410,11,161,SP,1,817800,72000,160,8889,50,11
332609,1997,12,85322410,11,149,SP,4,817700,3100,7,255,37,1
338609,1997,7,85322410,11,351,SP,4,817700,9940,50,50,114,0
344257,1997,1,85322410,11,161,SP,4,817600,32000,6,4344,43,6
344489,1997,10,85322410,11,455,AM,4,227600,61000,2,23760,21,71
345334,1997,10,85322410,11,23,SP,4,817600,971000,39,4289,300,0
347340,1997,8,85322410,11,160,BA,4,517600,166000,314,2470,848,0
347949,1997,9,85322410,11,741,SP,4,817700,1096000,615,8826,3213,34
348084,1997,12,85322410,11,628,SP,4,227600,12000,1,85,242,0
348444,1997,5,85322410,11,161,AM,4,227600,23223000,1258,165247,8024,224
348921,1997,9,85322410,11,190,SP,1,817800,156750,2351,1716,915,9
349148,1997,3,85322410,11,399,SP,4,817600,6335549,619,165539,11348,436
352492,1997,6,85322410,11,190,SP,1,817800,104500,1568,1144,769,6
355807,1997,6,85322410,11,249,AM,4,227600,325,1,137,24,0
356025,1997,7,85322410,11,493,SP,4,817700,257000,27,5549,149,6
358162,1997,9,85322410,11,249,SP,4,817700,13133274,2792,578831,13351,168
359598,1997,6,85322410,11,161,RS,4,1017600,9000,2,540,35,0
360017,1997,11,85322410,11,23,PR,4,817700,122000,3,13681,8,68
361395,1997,8,85322410,11,275,MG,4,617600,2823013,973,58169,2633,237
361905,1997,9,85322410,11,351,SP,4,817700,13360,52,67,156,0
362932,1997,5,85322410,11,351,SP,4,817700,290000,231,2342,1295,0
365883,1997,6,85322410,11,190,AM,4,227600,230000,171,3933,1030,0
368497,1997,6,85322410,11,161,AM,1,227600,970000,44,7205,33,10
368838,1997,7,85322410,11,399,AM,1,227600,1339000,95,14468,168,21
369455,1997,10,85322410,11,399,SP,4,817600,4833390,991,177701,19638,520
370544,1997,10,85322410,11,741,AM,1,227600,632000,219,15150,220,119
370756,1997,11,85322410,11,249,SP,4,817600,1754564,252,18333,1373,87
372686,1997,1,85322410,11,573,AM,4,227600,16000,0,102,1,0
377079,1997,4,85322410,11,249,RS,4,1017600,170,1,109,11,0
377795,1997,9,85322410,11,161,SP,4,817700,270200,355,5476,2240,21
379058,1997,11,85322410,11,399,SP,4,227600,109964,461,84010,2322,659
379281,1997,9,85322410,11,275,MG,4,617600,214000,188,15715,513,64
379672,1997,7,85322410,11,275,SP,4,817700,12500,3,186,125,1
381796,1997,8,85322410,11,375,SP,4,817700,5612000,248,39570,1863,198
386187,1997,8,85322410,11,190,SP,4,817600,5,0,26,0,0
387159,1997,9,85322410,11,249,AM,4,227600,33600,6,11424,117,0
391830,1997,11,85322410,11,399,AM,4,227600,40000,2,4074,27,12
392235,1997,2,85322410,11,190,SP,4,817700,180000,43,2738,253,11
392659,1997,4,85322410,11,628,SP,4,812000,60000,3,1025,93,1
393443,1997,8,85322410,11,160,SP,4,817600,104000,182,15605,245,70
395622,1997,10,85322410,11,23,PR,4,817700,324000,338,15843,1070,79
396820,1997,4,85322410,11,386,SP,4,817600,43800,3,885,25,4
397184,1997,7,85322410,11,399,SP,1,817800,45,21,6853,4,34
398236,1997,5,85322410,11,573,MG,4,617600,110000,70,2672,404,28
399348,1997,12,85322410,11,23,SP,4,817600,749676,395,5771,3195,40
399545,1997,12,85322410,11,493,SP,4,817700,177700,17,6715,611,14
400672,1997,6,85322410,11,72,RS,4,1017600,7746380,250,88351,1075,171
401830,1997,1,85322410,11,386,PR,4,717700,200,0,20,1,0
402011,1997,7,85322410,11,351,AM,4,227600,16000,3,32,33,0
402368,1997,3,85322410,11,23,MG,4,817600,4,8,1989,37,0
402958,1997,10,85322410,11,161,AM,1,227600,122400,4,1285,2,0
405906,1997,9,85322410,11,309,SP,4,817700,4000,2,38,8,0
407133,1997,6,85322410,11,249,SP,4,817700,9924197,1442,376129,5696,9
410750,1997,6,85322410,11,249,SP,4,817600,4776700,677,281813,3797,74
414267,1997,3,85322410,11,399,AM,1,227600,791000,35,15074,80,24
414310,1997,5,85322410,11,249,SP,4,817600,6811900,803,379335,3194,67
418835,1997,5,85322410,11,249,MG,4,817700,1000,1,890,27,3
423917,1997,9,85322410,11,161,AM,4,227600,3036000,165,26229,1163,36
429222,1997,7,85322410,11,741,AM,4,227600,140000,8,1157,44,2
430782,1997,6,85322410,11,160,BA,4,517600,193488,826,802,2880,0
431875,1997,8,85322410,11,573,SP,4,817700,55000,64,1086,204,5
433067,1997,10,85322410,11,351,SP,4,817600,89,10,842,333,4
435180,1997,11,85322410,11,161,BA,4,517600,29000,52,340,179,0
436094,1997,10,85322410,11,776,SP,4,817600,228000,13,22080,265,66
440571,1997,7,85322410,11,573,MG,4,617600,26000,20,676,138,3
442906,1997,12,85322410,11,351,AM,4,227600,667500,46,4005,82,0
445898,1997,10,85322410,11,271,AM,1,227600,20000,1,200,1,2
447137,1997,9,85322410,11,190,AM,1,227600,45000,11,1350,4,0
447872,1997,3,85322410,11,386,SP,4,817600,31506,6,653,68,3
451608,1997,7,85322410,11,399,SP,4,227600,247867,258,53816,1027,415
454341,1997,6,85322410,11,455,AM,1,227600,2002000,66,22900,65,129
454982,1997,9,85322410,11,493,SP,4,817700,127000,8,3246,27,4
455531,1997,2,85322410,11,249,SC,4,920100,56000,5,2500,37,0
457367,1997,10,85322410,11,161,BA,4,517600,35000,133,420,433,0
457461,1997,5,85322410,11,741,AM,1,227600,368000,223,7418,234,31
458722,1997,3,85322410,11,161,RS,4,1017600,40000,4,741,40,1
460652,1997,9,85322410,11,72,SP,4,817600,124000,226,18819,635,85
461951,1997,4,85322410,11,455,AM,4,227600,58664,8,3292,138,8
462733,1997,8,85322410,11,741,RS,4,1017600,5000,1,86,4,0
464119,1997,6,85322410,11,232,SP,4,817700,1600,2,446,88,0
471322,1997,4,85322410,11,161,PR,4,910151,37400,4,374,31,1
473326,1997,10,85322410,11,386,SP,4,817700,10,1,0,4,0
475104,1997,3,85322410,11,161,PR,4,910151,331200,45,3312,303,5
475228,1997,8,85322410,11,399,SP,4,817600,7420595,671,225380,18659,640
475259,1997,3,85322410,11,23,SP,4,817600,171000,51,23958,401,4
477990,1997,4,85322410,11,190,SP,4,817700,550,2,28,32,0
480459,1997,3,85322410,11,249,AM,4,227600,66101,18,4319,29,6
485941,1997,1,85322410,11,548,SP,4,817700,24000,1,340,5,1
489023,1997,8,85322410,11,741,AM,1,227600,1945000,528,48164,472,126
493905,1997,5,85322410,11,249,AM,4,227600,20500,8,7650,73,0
494084,1997,2,85322410,11,764,SP,4,817700,12000,11,323,52,0
494417,1997,10,85322410,11,776,SP,4,817700,492400,420,6750,2206,28
494943,1997,8,85322410,11,249,PR,4,910151,19000,4,850,69,2
498518,1997,12,85322410,11,275,MG,4,617600,1000,1,100,11,0
502797,1997,4,85322410,11,351,SP,4,817700,48000,0,768,2,4
503330,1997,5,85322410,11,399,AM,4,227600,1554000,55,13340,291,18
504728,1997,2,85322410,11,367,SP,4,817700,102000,18,1270,281,6
504839,1997,9,85322410,11,628,SP,4,817700,30000,60,572,177,0
505439,1997,11,85322410,11,160,AM,4,227600,30000,0,300,1,0
505500,1997,11,85322410,11,493,AM,4,227600,48000,3,792,50,2
507545,1997,11,85322410,11,275,SP,4,817700,294000,90,2281,533,16
508133,1997,8,85322410,11,275,SP,4,817700,4000,15,38,48,0
510415,1997,7,85322410,11,399,RJ,4,717700,20000,17,400,195,0
510521,1997,3,85322410,11,351,SP,4,817700,46,27,349,155,0
511365,1997,8,85322410,11,23,PR,4,817700,374200,87,22290,276,111
514428,1997,4,85322410,11,249,AM,4,227600,10000,6,4080,39,0
518284,1997,3,85322410,11,399,SP,4,227600,6488769,594,134420,4284,1300
519448,1997,4,85322410,11,23,MG,4,817600,3,2,297,31,0
519978,1997,4,85322410,11,249,MG,4,617600,4000,5,80,33,0
521388,1997,11,85322410,11,23,SP,4,817600,212300,127,780,908,7
522115,1997,10,85322410,11,741,AM,4,227600,144000,58,2664,407,9
524083,1997,8,85322410,11,190,SP,1,817800,311594,5071,3436,2162,17
525809,1997,11,85322410,11,161,PR,4,817700,41105,1,411,49,1
526708,1997,8,85322410,11,161,PR,4,910151,114000,9,2746,96,5
530668,1997,3,85322410,11,249,SP,4,817600,7566000,525,230381,1818,80
534446,1997,9,85322410,11,399,SP,4,227600,17556,336,70490,1591,536
535250,1997,6,85322410,11,23,PR,4,817700,72700,147,3936,497,20
537723,1997,8,85322410,11,399,SP,4,817700,427500,380,20561,1858,80
538548,1997,2,85322410,11,161,SP,4,817700,1114450,879,6150,5637,32
547138,1997,1,85322410,11,249,SP,4,817700,9272449,1097,408805,3253,4
550055,1997,8,85322410,11,628,AM,4,227600,2545000,134,18463,617,44
550241,1997,11,85322410,11,87,SP,4,817700,4000,3,65,14,0
551482,1997,11,85322410,11,455,SP,1,817800,199040,2986,2191,1687,11
552226,1997,2,85322410,11,161,SP,1,817800,48000,210,6059,47,8
553304,1997,3,85322410,11,741,AM,1,227600,7584000,368,73119,347,128
554447,1997,4,85322410,11,399,AM,1,227600,3059000,247,34799,230,49
554639,1997,2,85322410,11,249,SP,4,817700,3982264,1107,106172,5776,46
557985,1997,8,85322410,11,23,PR,4,1017600,16500,69,645,132,3
561775,1997,5,85322410,11,628,SP,4,817700,48000,2,680,85,1
562696,1997,7,85322410,11,190,SP,4,817700,4000,15,33,95,0
563167,1997,11,85322410,11,23,AM,4,227600,462000,148,9785,1159,0
564240,1997,6,85322410,11,23,AM,4,227600,737000,242,14914,1663,0
569835,1997,1,85322410,11,249,MG,4,817700,1500,3,1125,17,3
570645,1997,2,85322410,11,741,AM,4,227600,20000,2,351,6,6
571038,1997,2,85322410,11,628,SP,4,817600,48000,1,792,33,1
571047,1997,7,85322410,11,249,PR,4,817700,10200,1,483,2,2
571313,1997,10,85322410,11,399,AM,1,227600,33000,3,959,10,2
572024,1997,10,85322410,11,190,AM,1,227600,8000,1,80,1,1
572097,1997,2,85322410,11,190,SP,1,817800,12000,54,202,45,0
572201,1997,2,85322410,11,455,AM,1,227600,1992000,1415,39678,1896,232
572692,1997,8,85322410,11,351,SP,4,817600,20000,0,296,1,1
574955,1997,11,85322410,11,741,SP,4,817700,40000,32,401,163,2
581430,1997,8,85322410,11,23,SP,4,817700,259750,215,3968,661,9
585486,1997,6,85322410,11,687,AM,4,227600,10000,10,1705,214,0
587072,1997,4,85322410,11,249,SP,4,817700,5983965,1306,112516,7102,51
588350,1997,12,85322410,11,249,SP,4,817700,21137614,2278,593379,11090,565
590151,1997,5,85322410,11,399,AM,4,817700,10,0,14,0,0
590544,1997,3,85322410,11,275,SP,4,817600,33000,5,1870,21,9
592070,1997,6,85322410,11,741,SP,4,817700,44000,24,1148,165,4
593451,1997,2,85322410,11,399,AM,4,227600,5890000,262,55357,1922,75
594265,1997,8,85322410,11,249,MG,4,817700,4200,12,720,94,2
594772,1997,9,85322410,11,190,BA,1,517600,57008,505,652,340,0
595405,1997,12,85322410,11,351,SP,4,817700,18020,71,90,242,0
598809,1997,2,85322410,11,573,AM,4,227600,28000,1,507,5,1
600768,1997,9,85322410,11,455,AM,1,227600,2256000,74,26160,68,171
601579,1997,8,85322410,11,161,SP,4,817700,599800,486,10066,3365,41
603868,1997,8,85322410,11,161,SP,1,817800,254535,1112,38717,368,47
604531,1997,12,85322410,11,687,SP,4,817700,10000,1,590,3,2
611566,1997,10,85322410,11,23,SP,4,817700,1555000,764,26118,2214,21
611714,1997,1,85322410,11,399,SP,4,817700,5007013,472,36738,3644,1
612383,1997,3,85322410,11,249,RS,4,1017600,80000,3,1820,74,0
614372,1997,12,85322410,11,23,SP,1,817800,6000,2,477,2,2
616671,1997,5,85322410,11,275,PR,4,717700,62000,37,1138,178,6
618427,1997,2,85322410,11,190,AM,4,227600,12000,12,1248,36,0
618741,1997,4,85322410,11,275,MG,4,617600,260665,28,6578,84,26
619172,1997,7,85322410,11,275,MG,4,617600,1115425,237,34728,912,141
621438,1997,8,85322410,11,23,RS,4,1017600,531500,30,6489,113,13
625648,1997,2,85322410,11,386,SP,4,817700,170000,33,1380,196,7
631227,1997,4,85322410,11,493,SP,4,817700,4000,3,53,14,0
631869,1997,8,85322410,11,386,SP,4,817600,28000,54,560,176,3
634926,1997,2,85322410,11,161,AM,1,227600,2102000,43,16380,21,22
637341,1997,9,85322410,11,23,SP,1,817800,16000,5,225,5,1
643367,1997,8,85322410,11,161,AM,1,227600,854400,48,6955,23,7
643996,1997,8,85322410,11,399,SP,4,227600,100537,408,67564,1589,542
644821,1997,9,85322410,11,573,MG,4,617600,222000,216,4324,1315,16
646744,1997,8,85322410,11,249,RJ,4,717700,4000,0,160,2,0
649263,1997,8,85322410,11,249,SP,4,817700,15893308,1505,519000,7975,19
654588,1997,6,85322410,11,399,AM,1,227600,1649000,118,23412,112,33
657466,1997,11,85322410,11,741,AM,4,227600,18000,5,328,28,1
661404,1997,9,85322410,11,455,SP,1,817800,99520,1493,1095,548,5
661629,1997,8,85322410,11,351,SP,4,817700,9760,21,49,70,0
662897,1997,4,85322410,11,190,AM,4,227600,236000,157,4506,1012,0
663679,1997,2,85322410,11,249,RS,4,1017600,90800,7,3372,184,1
665971,1997,7,85322410,11,23,AM,4,227600,134000,34,4234,268,0
673298,1997,6,85322410,11,776,SP,4,817700,388000,214,2976,1188,12
676911,1997,7,85322410,11,399,AM,4,227600,432000,22,5026,125,7
679383,1997,3,85322410,11,573,SP,4,817600,218056,20,3356,162,6
680810,1997,11,85322410,11,628,SP,4,817700,6703000,373,65611,2689,319
682585,1997,12,85322410,11,72,AM,4,227600,109000,5,800,28,0
