CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO
2012,5,85322410,11,455,RS,4,1017600,1552000,78,7753,1078,11
2012,2,85322410,11,160,AM,1,717800,18836442,1215,110859,928,67
2012,6,85322410,11,399,SC,4,925200,8000,1,340,28,0
2012,6,85322410,11,776,SP,4,817700,3110,3,83,39,0
2012,12,85322410,11,160,SP,4,817700,131446667,2989,664882,37669,388
2012,1,85322410,11,249,SP,4,817700,9564912,399,75075,4129,69
2012,10,85322410,11,160,BA,1,417800,1640000,16,3463,15,0
2012,5,85322410,11,791,SP,4,817700,65200,8,5351,73,3
2012,5,85322410,11,399,SP,4,817700,178386165,3104,413275,43348,250
2012,1,85322410,11,161,BA,1,517600,4350200,1019,20246,941,14
2012,12,85322410,11,351,AM,4,227700,1888480,59,7231,948,0
2012,10,85322410,11,267,SP,4,817700,8249000,95,34942,887,36
2012,1,85322410,11,190,AM,1,227600,139671900,11748,718787,6920,128
2012,12,85322410,11,161,MG,4,615100,109665,11,878,348,2
2012,2,85322410,11,160,PR,1,917800,20612628,1063,67451,2089,61
2012,12,85322410,11,160,MG,4,817700,6446751,54,10558,613,8
2012,1,85322410,11,383,SP,4,817700,1173000,19,19696,639,12
2012,10,85322410,11,161,RS,4,1017600,715455,68,4369,1222,7
2012,11,85322410,11,160,RS,4,1017600,9618100,332,24357,3825,38
2012,4,85322410,11,267,PR,4,915200,270000,16,2078,159,3
2012,9,85322410,11,160,AM,1,817800,2319700,187,16000,655,9
2012,1,85322410,11,249,MG,4,817700,29500,30,9329,275,11
2012,9,85322410,11,455,AM,4,227700,10785400,393,61215,3020,61
2012,12,85322410,11,249,MG,4,817700,187550,12,3409,150,2
2012,2,85322410,11,161,MG,1,817800,88400,31,4990,12,6
2012,10,85322410,11,399,MG,4,817700,1016000,13,1971,266,1
2012,5,85322410,11,493,AM,4,227700,4100000,109,16362,2184,32
2012,8,85322410,11,791,SP,4,817700,133480,77,1266,594,0
2012,2,85322410,11,249,RS,4,817700,17000,2,1540,21,3
2012,3,85322410,11,271,SP,4,817700,200,0,3,0,0
2012,8,85322410,11,403,PR,4,915200,2500,1,143,18,1
2012,7,85322410,11,399,BA,4,517700,5000,1,195,11,0
2012,12,85322410,11,455,SP,1,817800,400038,12,1506,47,0
2012,12,85322410,11,361,AM,4,227700,249000,9,3746,135,4
2012,3,85322410,11,455,AM,4,227700,26878101,1788,143842,18674,173
2012,10,85322410,11,687,SP,4,817700,3388460,61,25590,966,51
2012,6,85322410,11,267,SP,4,817600,572000,155,1861,609,0
2012,7,85322410,11,455,SC,4,925200,14000,2,212,24,0
2012,11,85322410,11,687,RS,4,1017600,94000,14,944,137,0
2012,7,85322410,11,399,SP,1,817800,4795200,183,21579,64,15
2012,8,85322410,11,190,SP,4,817700,239901617,2629,837204,42507,565
2012,7,85322410,11,161,AM,1,227600,4855550,122,20368,122,3
2012,2,85322410,11,161,SP,1,817800,17744967,733,52895,772,39
2012,10,85322410,11,249,SC,4,925200,312000,13,1207,99,0
2012,4,85322410,11,267,MG,4,817700,6000,1,130,64,1
2012,2,85322410,11,161,RS,4,1017600,2406840,96,9719,962,22
2012,6,85322410,11,361,AM,4,227700,629000,24,2135,223,2
2012,7,85322410,11,493,SP,4,817600,10046330,116,19446,5000,18
2012,8,85322410,11,399,SC,4,817600,30000,5,1440,15,2
2012,7,85322410,11,160,AM,1,227600,238654630,8938,557431,7116,896
2012,12,85322410,11,399,MG,4,615100,1516350,69,19212,1018,29
2012,3,85322410,11,249,SP,1,817800,9372000,438,22886,515,0
2012,11,85322410,11,687,SP,4,817600,40000,0,88,10,0
2012,1,85322410,11,455,MG,4,615100,310175,6,1585,150,1
2012,10,85322410,11,160,SC,4,817600,1350000,42,7574,485,6
2012,2,85322410,11,351,AM,4,227700,909200,68,6378,718,2
2012,10,85322410,11,161,SP,4,817600,11164500,509,43516,6001,153
2012,9,85322410,11,455,MG,4,817700,15000,1,99,19,0
2012,8,85322410,11,160,MG,1,817800,22362667,756,65539,396,69
2012,11,85322410,11,161,MG,4,817700,1434000,14,5011,159,4
2012,5,85322410,11,161,MG,4,615100,853750,14,3840,368,6
2012,9,85322410,11,427,PR,4,915200,5000,0,900,0,1
2012,6,85322410,11,187,SP,4,817700,50,0,1,0,0
2012,11,85322410,11,161,BA,1,817800,30000,12,2093,7,0
2012,2,85322410,11,399,RS,4,1017600,1270180,240,55820,2748,139
2012,4,85322410,11,687,RS,4,1017600,262000,26,2297,403,3
2012,9,85322410,11,399,MG,4,817700,2069020,9,5466,149,4
2012,2,85322410,11,741,PR,4,915200,1759390,51,6720,493,8
2012,5,85322410,11,249,MG,4,817700,181500,13,5488,134,7
2012,8,85322410,11,249,SP,1,817800,2,3,56,2,0
2012,7,85322410,11,190,MG,1,817800,4000,1,61,0,0
2012,7,85322410,11,187,SP,4,817600,5000,0,143,0,0
2012,5,85322410,11,161,SC,4,817700,1906000,49,10767,605,17
2012,8,85322410,11,249,MG,4,615100,102030,16,6593,125,10
2012,1,85322410,11,493,SP,4,817700,810608,51,7185,1813,5
2012,8,85322410,11,160,BA,1,517600,11500400,3206,72607,2616,114
2012,5,85322410,11,383,RS,4,1017600,55089,1,1404,21,0
2012,2,85322410,11,399,PR,4,915200,2638355,142,41806,1649,49
2012,8,85322410,11,249,AM,4,227700,18299650,882,56739,8300,61
2012,1,85322410,11,249,AM,4,227700,15512731,691,51711,5022,42
2012,12,85322410,11,361,GO,4,517700,4000,0,40,2,0
2012,3,85322410,11,493,MG,4,615100,492080,14,7712,376,12
2012,1,85322410,11,161,AM,1,227600,16335500,360,140727,755,77
2012,9,85322410,11,160,AM,4,817700,2180000,4,7219,129,5
2012,5,85322410,11,190,MG,4,615100,747000,132,71329,1491,109
2012,5,85322410,11,741,AM,1,227600,8298800,243,17554,269,30
2012,7,85322410,11,361,PB,4,417700,40000,4,400,37,1
2012,9,85322410,11,161,AM,1,717800,53000,4,56,3,0
2012,8,85322410,11,160,SC,1,927700,6308000,142,15730,46,10
2012,6,85322410,11,386,MG,1,817800,5,7715,102718,4453,54
2012,11,85322410,11,160,SC,4,817700,729000,9,3312,89,5
2012,6,85322410,11,275,MG,1,817800,63,390,47158,1061,25
2012,7,85322410,11,399,MS,4,817700,6959,10,6681,88,0
2012,1,85322410,11,741,DF,4,817700,4000,0,15,0,0
2012,10,85322410,11,249,SP,1,817800,17767000,734,52379,672,0
2012,10,85322410,11,249,RS,4,1017600,622500,5,4121,140,5
2012,3,85322410,11,399,SP,1,915200,774443,99,5700,125,5
2012,12,85322410,11,399,PB,1,717600,10452,3,21,5,0
2012,11,85322410,11,190,MG,1,817800,22000,6,611,5,0
2012,5,85322410,11,160,MG,4,817600,15000,3,465,17,4
2012,6,85322410,11,161,BA,4,517700,2097000,34,4114,213,5
2012,3,85322410,11,351,AM,4,227700,562030,50,4767,713,5
2012,10,85322410,11,160,SC,1,927800,16116000,460,58152,256,35
2012,8,85322410,11,247,SP,4,817700,30000,2,224,13,3
2012,10,85322410,11,160,MG,4,817700,1479000,10,2520,580,1
2012,9,85322410,11,249,SC,4,925200,6730,3,263,34,0
2012,7,85322410,11,249,DF,4,817700,200,0,10,1,0
2012,3,85322410,11,23,RS,4,1017600,35000,1,1890,9,3
2012,7,85322410,11,267,MG,4,817700,34000,1,394,23,0
2012,12,85322410,11,23,SP,4,817600,500,1,106,3,0
2012,4,85322410,11,365,AM,4,227700,613000,23,6153,157,6
2012,12,85322410,11,687,SP,1,817800,456075,19,2333,71,0
2012,3,85322410,11,249,RS,4,817600,310000,0,980,32,2
2012,3,85322410,11,687,PR,4,915200,116000,12,785,122,2
2012,7,85322410,11,455,MG,1,817800,9000,1,120,1,0
2012,1,85322410,11,493,BA,4,817600,4000,3,30,61,0
2012,6,85322410,11,190,MG,4,615100,146000,22,10591,231,15
2012,12,85322410,11,351,PE,4,417700,58000,1,1623,82,0
2012,4,85322410,11,687,MG,4,615100,540,0,24,1,0
2012,2,85322410,11,160,MG,4,817600,6000,20,187,151,2
2012,8,85322410,11,628,SC,4,925200,36000,1,83,13,0
2012,9,85322410,11,355,SP,4,817700,22473,1,429,13,0
2012,6,85322410,11,160,AM,4,817700,2210000,5,6418,181,4
2012,3,85322410,11,383,AM,4,227700,40000,0,886,0,1
2012,2,85322410,11,160,BA,1,517600,2753000,53,7413,111,6
2012,4,85322410,11,267,SP,1,817800,1120000,123,8852,37,0
2012,1,85322410,11,741,MG,1,817800,10000,3,1393,3,2
2012,8,85322410,11,383,MG,4,615100,80000,3,1040,50,1
2012,12,85322410,11,455,PR,1,917800,1782000,27,30930,258,15
2012,12,85322410,11,160,AM,4,817700,837600,1,1581,41,1
2012,5,85322410,11,160,MG,1,817800,29392000,939,142928,556,151
2012,6,85322410,11,267,MG,4,817700,242000,10,871,278,3
2012,9,85322410,11,687,AM,4,227700,33000,2,243,9,0
2012,11,85322410,11,628,AM,4,227700,52000,0,325,5,0
2012,10,85322410,11,190,MG,1,817800,156000,38,3491,23,2
2012,6,85322410,11,161,AM,4,817700,225000,0,171,8,0
2012,10,85322410,11,361,AM,4,227700,598000,22,3757,305,4
2012,6,85322410,11,160,PR,4,817700,18640,1,93,21,1
2012,12,85322410,11,161,AM,1,717800,2056000,333,5988,365,4
2012,11,85322410,11,399,PE,4,417800,16000,0,131,32,1
2012,7,85322410,11,160,SC,4,925200,298000,5,847,27,0
2012,6,85322410,11,275,SP,4,817700,24000,4,1570,70,0
2012,10,85322410,11,776,SP,4,817700,50,0,12,2,0
2012,8,85322410,11,161,SC,4,817600,4353000,206,22103,1680,35
2012,2,85322410,11,160,DF,4,817700,100,0,2,0,0
2012,7,85322410,11,628,DF,4,817700,200,0,11,1,0
2012,2,85322410,11,351,AM,1,717800,4135550,124,9195,102,1
2012,8,85322410,11,493,MG,4,615100,20000,0,291,5,1
2012,8,85322410,11,190,MG,4,615100,487000,131,48552,1761,70
2012,2,85322410,11,161,MG,4,817700,16000,0,64,1,0
2012,11,85322410,11,190,RS,4,1017600,20000,3,42,29,0
2012,4,85322410,11,249,SC,4,817600,52000,3,166,45,0
2012,10,85322410,11,161,BA,1,417800,70000,1,561,1,0
2012,12,85322410,11,776,RS,4,1017600,8000,0,136,13,0
2012,2,85322410,11,267,RS,4,817700,172000,20,550,175,1
2012,7,85322410,11,383,PR,4,915200,3000,1,69,5,0
2012,2,85322410,11,741,SP,1,817800,105000,2,7200,2,7
2012,3,85322410,11,399,MG,4,817600,686995,1,1180,53,1
2012,4,85322410,11,190,RS,4,817600,280000,24,652,96,1
2012,11,85322410,11,607,ES,4,727600,300,0,0,0,0
2012,10,85322410,11,455,BA,4,517700,600,0,138,21,0
2012,9,85322410,11,399,SC,4,817600,10000,4,480,13,1
2012,4,85322410,11,267,RS,4,817600,100000,5,409,20,1
2012,10,85322410,11,267,MG,4,817600,88000,3,261,57,1
2012,3,85322410,11,776,SC,4,817700,10,0,3,1,0
2012,3,85322410,11,741,AM,1,717800,35000,2,77,1,0
2012,4,85322410,11,249,MG,4,817700,41500,3,4718,86,5
2012,8,85322410,11,365,PR,4,915200,5100,1,1471,31,1
2012,7,85322410,11,351,AM,1,717800,1702960,52,2510,55,0
2012,7,85322410,11,455,MG,4,817700,6000,0,39,3,0
2012,7,85322410,11,365,AM,1,717800,94700,48,6076,27,5
2012,11,85322410,11,190,AM,1,717800,248300,25,2785,25,2
2012,11,85322410,11,160,MG,4,817600,25000,2,9,18,0
2012,11,85322410,11,23,AM,4,227700,24000,1,704,6,7
2012,10,85322410,11,493,AM,1,227600,180000,4,459,3,0
2012,7,85322410,11,23,RS,4,1017600,72000,5,529,39,1
2012,6,85322410,11,160,AM,1,717800,30128774,2464,133428,1713,134
2012,10,85322410,11,399,SP,4,227700,72632000,493,294196,25008,0
2012,6,85322410,11,351,SP,1,817800,5564000,248,6280,40,0
2012,4,85322410,11,383,AM,4,227700,5000,2,750,11,1
2012,2,85322410,11,160,BA,4,517700,2114000,65,2857,638,5
2012,7,85322410,11,267,SP,4,817700,16722000,240,23226,2007,40
2012,6,85322410,11,493,RS,4,1017600,13444,2,1455,45,1
2012,10,85322410,11,399,AM,4,817700,3525000,5,17316,145,12
2012,1,85322410,11,161,PR,4,915200,11891480,332,31102,2958,30
2012,5,85322410,11,161,AM,1,227600,29400100,4094,163732,4887,70
2012,10,85322410,11,455,SP,4,817600,6417910,454,57610,3653,180
2012,3,85322410,11,399,SP,4,817700,223034745,4483,577626,53295,497
2012,4,85322410,11,249,SP,4,817700,6632691,373,100977,2870,89
2012,9,85322410,11,161,PR,1,917800,9820200,158,87320,1057,43
2012,9,85322410,11,399,MG,4,615100,2054685,93,33204,1215,53
2012,5,85322410,11,160,AM,4,227700,270901719,7119,956501,68142,481
2012,4,85322410,11,628,SP,4,817700,67699,9,1253,115,1
2012,3,85322410,11,160,AM,4,227700,210986145,6768,442315,66780,452
2012,1,85322410,11,249,PR,4,915200,530400,31,15591,505,16
2012,8,85322410,11,160,SP,1,817800,252777500,13216,625093,6100,678
2012,11,85322410,11,351,SP,4,817600,712000,23,2792,340,2
2012,3,85322410,11,160,PR,1,917800,38072000,347,115296,1033,97
2012,6,85322410,11,267,SP,4,817700,1103000,34,5504,442,3
2012,3,85322410,11,161,SP,1,817800,23994600,776,77064,952,73
2012,11,85322410,11,190,SP,4,817700,102562214,559,197144,17400,44
2012,11,85322410,11,628,SP,4,817700,12220,3,794,151,1
2012,9,85322410,11,776,SP,4,817700,1000,0,75,0,0
2012,6,85322410,11,365,AM,4,227700,44400,27,2276,214,2
2012,5,85322410,11,687,SP,4,817600,662610,6,2367,119,3
2012,5,85322410,11,267,MG,4,817700,114000,73,367,487,1
2012,4,85322410,11,687,SP,4,817700,2661050,59,23479,1007,46
2012,11,85322410,11,399,AM,1,227600,27038100,1515,258275,1987,169
2012,6,85322410,11,161,AM,4,227700,43452000,1193,117490,10995,9
2012,4,85322410,11,160,MG,1,817800,25983000,736,85979,530,87
2012,9,85322410,11,190,SP,1,817800,19417134,707,44412,674,33
